election_year,state_name,constituency_name,constituency_type,party_name,candidate_name,EVM_votes,postal_votes,total_votes,rank,units
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Bharatiya Janata Party,BISHNU PADA RAY,102182,254,102436,1,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Indian National Congress,KULDEEP RAI SHARMA,77829,211,78040,2,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Andaman Nicobar Democratic Congress,MANOJ PAUL,8236,18,8254,3,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Communist Party of India (Marxist),D AYYAPPAN,6009,8,6017,4,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Independent,V.K. ABDUL AZIZ,2195,8,2203,5,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,All India Anna Dravida Munnetra Kazhagam,K J B SELVARAJ,911,3,914,7,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Bahujan Samaj Party,DR ARUN KUMAR MALLIK,714,5,719,8,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Independent,RINKU MALA MONDAL,539,3,542,9,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Independent,K VENKAT RAM BABU,506,1,507,10,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Independent,USHA KUMARI,378,2,380,11,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Socialist Unity Centre Of India (COMMUNIST),SALAMAT MONDAL,349,2,351,12,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Independent,ANAND RAMNATH ARLEKAR,342,,342,13,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,None of the Above,NOTA,1802,7,1809,6,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Yuvajana Sramika Rythu Congress Party,GUMMA THANUJA RANI,471470,5535,477005,1,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Bharatiya Janata Party,KOTHAPALLI GEETHA,417113,9312,426425,2,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Communist Party of India (Marxist),APPALANARASA PACHIPENTA,119016,4113,123129,3,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Bahujan Samaj Party,AVASHYA LAHARI . VARAM,24858,892,25750,5,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Independent,SAMAREDDY BALAKRISHNA,9493,42,9535,6,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Independent,NIMMAKA JAYARAJU,8798,664,9462,7,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Independent,ATHIDHI,8121,15,8136,8,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Jai Bharat National Party,CHANTI BADNAINA,7205,47,7252,9,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Bharat Adivasi Party,MOTTADAM . RAJABABU,6370,396,6766,10,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Independent,RANJITH KUMAR PALAKA,6000,47,6047,11,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Telugu Rajadhikara Samiti Party,RAMBABU JALLI,4933,26,4959,13,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Independent,MANDALA GIRIDHARA RAO,4931,36,4967,12,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,India Praja Bandhu Party,VUYAKA NIREEKSHAN (V. CHENCHU),4500,42,4542,14,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,None of the Above,NOTA,50205,265,50470,4,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Srikakulam,General,Telugu Desam,KINJARAPU RAMMOHAN NAIDU,734501,19827,754328,1,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Srikakulam,General,Yuvajana Sramika Rythu Congress Party,TILAK PERADA,420394,6033,426427,2,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Srikakulam,General,Indian National Congress,PEDADA PARAMESWARA RAO,6724,448,7172,4,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Srikakulam,General,Independent,SANAPALA SRAVAN KUMAR,5950,8,5958,5,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Srikakulam,General,Bahujan Samaj Party,NAIDUGARI RAJASEKHAR,4661,81,4742,6,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Srikakulam,General,Independent,VABA YOGESWARA RAO,3472,126,3598,7,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Srikakulam,General,Independent,BETHA VIVEKANANDA MAHARAJ,2523,13,2536,8,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Srikakulam,General,Independent,YEDDU LAKSHMINARAYANA,1598,7,1605,9,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Srikakulam,General,Bharatha Chaitanya Yuvajana Party,BORUBADRA CHANDRAKALA,1315,42,1357,10,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Srikakulam,General,Jai Bharat National Party,IPPILI SEETHARAJU,1080,50,1130,11,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Srikakulam,General,Navarang Congress Party,KAYA DURGARAO,811,7,818,12,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Srikakulam,General,Independent,CHELLURI DANIYAL,796,20,816,13,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Srikakulam,General,Pyramid Party of India,BOMMALI TIRUPATI RAO,589,5,594,14,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Srikakulam,General,None of the Above,NOTA,24498,107,24605,3,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Vizianagaram,General,Telugu Desam,APPALANAIDU KALISETTI,729284,13829,743113,1,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Vizianagaram,General,Yuvajana Sramika Rythu Congress Party,BELLANA CHANDRASEKHAR,487691,6071,493762,2,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Vizianagaram,General,Indian National Congress,BOBBILI SRINU,10270,353,10623,4,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Vizianagaram,General,Bahujan Samaj Party,PEERUBANDI PRAKASH RAO,7985,53,8038,5,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Vizianagaram,General,Independent,VELURI VENKATA TRINADHARAO,4146,6,4152,6,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Vizianagaram,General,Independent,ALLU SRIRAMULU,3396,5,3401,7,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Vizianagaram,General,Independent,SIYYADULA YELLA RAO,3105,2,3107,8,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Vizianagaram,General,Yuga Thulasi Party,SRINIVASA RAO SAMBHANA,1758,3,1761,9,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Vizianagaram,General,Independent,MARISERLA KRISHNAMURTHY NAIDU,1617,12,1629,10,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Vizianagaram,General,Naba Bharata Nirmana Seva Party,VANGAPANDU MAHESWARA RAO,1544,9,1553,11,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Vizianagaram,General,Jaibhim Rao Bharat Party,CHINNAM ARUNA KUMAR,1401,10,1411,12,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Vizianagaram,General,Samajwadi Party,ATCHIYYA NAIDU SAMIREDDY,1059,11,1070,13,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Vizianagaram,General,Independent,ADINARAYANA TADDI,855,1,856,14,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Vizianagaram,General,Independent,P V A ANANDA SAGAR,787,4,791,15,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Vizianagaram,General,Pyramid Party of India,SAKHINETI ANANTHA RAJU,715,10,725,16,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Vizianagaram,General,None of the Above,NOTA,23097,153,23250,3,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Visakhapatnam,General,Telugu Desam,SRIBHARAT MATHUKUMILI,893884,13583,907467,1,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Visakhapatnam,General,Yuvajana Sramika Rythu Congress Party,JHANSI LAKSHMI. BOTCHA.,397821,5399,403220,2,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Visakhapatnam,General,Indian National Congress,P. SATYA REDDY,29430,837,30267,3,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Visakhapatnam,General,Praja Shanthi Party,K.A. PAUL,7529,167,7696,4,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Visakhapatnam,General,Bahujan Samaj Party,PEDAPENKI SIVA PRASADA RAO,6006,85,6091,5,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Visakhapatnam,General,Navarang Congress Party,BIKKAVOLU. CHALAMAJI,4883,1,4884,7,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Visakhapatnam,General,Rashtriya Praja Congress (Secular),V.N. SATYA NARAYANA,2534,3,2537,8,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Visakhapatnam,General,Independent,ARUNA SRI MURALA,1991,2,1993,9,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Visakhapatnam,General,Independent,VASUPILLI SURESH,1931,2,1933,10,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Visakhapatnam,General,Independent,SONDI KRISHNA.,1811,7,1818,11,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Visakhapatnam,General,India Praja Bandhu Party,ANDUKURI VIJAYA BHASKAR,1098,11,1109,12,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Visakhapatnam,General,Republican Party of India (A),DR. GANAPATHI KONGARAPU.,944,6,950,13,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Visakhapatnam,General,Dalita Bahujana Party,BANNA. RAMESH,941,7,948,14,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Visakhapatnam,General,Pyramid Party of India,P. SATYA VANI,875,7,882,15,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Visakhapatnam,General,Bhartiya Rashtriya Dal,DURGA PRASAD. GUNTU,760,7,767,16,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Visakhapatnam,General,Independent,CHAPPIDI RAMU,756,1,757,17,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Visakhapatnam,General,Independent,M.G.M. KHAN,738,4,742,18,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Visakhapatnam,General,Independent,SHANKAR DEVARA YADAV,656,5,661,19,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Visakhapatnam,General,Independent,VENU MADHAV KARRI,646,1,647,20,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Visakhapatnam,General,Bharatha Chaitanya Yuvajana Party,DR. ACHUTHA BALAJI YADAV (MURAPALA),628,10,638,21,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Visakhapatnam,General,Praja Prasthanam Party,THOTA VENKATA SAI MUKUND,628,5,633,22,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Visakhapatnam,General,Independent,PIDIDHI APPARAO,576,4,580,23,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Visakhapatnam,General,Independent,G.A.N. ANAND,543,,543,24,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Visakhapatnam,General,Independent,VADDI. HARI GANESH,518,2,520,25,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Visakhapatnam,General,Independent,JANARDHAN PONNADA.,499,1,500,26,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Visakhapatnam,General,Jai Maha Bharath Party,GANAPATHI. JAGADEESWARA RAO (JAGADEESH),494,6,500,26,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Visakhapatnam,General,Samajwadi Party,JALADI VIJAYA KUMARI,463,3,466,28,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Visakhapatnam,General,Naba Bharata Nirmana Seva Party,CHINTADA SURYAM,443,5,448,29,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Visakhapatnam,General,Navataram Party,GANDIKOTA RAJESH,392,1,393,30,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Visakhapatnam,General,Independent,KOLLI NAGA RAJU,322,7,329,31,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Visakhapatnam,General,Independent,METTA RAMA RAO,320,6,326,32,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Visakhapatnam,General,Independent,LAGUDU. GOVINDA RAO,293,1,294,33,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Visakhapatnam,General,Independent,MALLA SRAVANI,271,2,273,34,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Visakhapatnam,General,None of the Above,NOTA,5171,142,5313,6,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Anakapalle,General,Bharatiya Janata Party,C.M.RAMESH,750027,12042,762069,1,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Anakapalle,General,Yuvajana Sramika Rythu Congress Party,BUDI MUTYALA NAIDU,459762,5777,465539,2,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Anakapalle,General,Indian National Congress,VEGI VENKATESH,24833,818,25651,4,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Anakapalle,General,Bahujan Samaj Party,PALAKA SREERAMA MURTHY,19082,75,19157,5,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Anakapalle,General,Independent,VANKAYALA RAMACHANDRA RAO,4001,1,4002,6,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Anakapalle,General,Independent,LOVARAJU SIDDHA,3845,7,3852,7,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Anakapalle,General,Dalita Bahujana Party,KRISHNA SWAROOP VADLAMURI,3549,8,3557,8,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Anakapalle,General,Independent,GARA SURYA RAO,3116,8,3124,9,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Anakapalle,General,Bharatha Chaitanya Yuvajana Party,APPALA RAJU NAMMI,2589,30,2619,10,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Anakapalle,General,Independent,NAGESWARA RAO PETLA,2179,5,2184,11,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Anakapalle,General,Jai Bharat National Party,ADARI SARAT CHANDRA,1886,27,1913,12,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Anakapalle,General,Pyramid Party of India,VIJAYA LAKSHMI KARRI,1578,13,1591,13,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Anakapalle,General,Independent,DR. THUMMAPALA HARI SHANKAR,1567,9,1576,14,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Anakapalle,General,Independent,JUNNURI J SRINIVAS,1195,6,1201,15,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Anakapalle,General,Independent,APPALANAIDU TUMMAGUNTA,1055,7,1062,16,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Anakapalle,General,None of the Above,NOTA,26084,151,26235,3,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Kakinada,General,Janasena Party,TANGELLA UDAY SRINIVAS (TEA TIME UDAY),718971,10728,729699,1,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Kakinada,General,Yuvajana Sramika Rythu Congress Party,CHALAMALASETTY SUNIL,495188,5020,500208,2,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Kakinada,General,Indian National Congress,MALLIPUDI MANGAPATI PALLAM RAJU,20258,851,21109,3,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Kakinada,General,Navarang Congress Party,UDAY,15578,125,15703,5,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Kakinada,General,Bahujan Samaj Party,KANDREGULA NARASIMHAM,11916,63,11979,6,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Kakinada,General,Bharatha Chaitanya Yuvajana Party,DR ANUSHA YADAV,9818,36,9854,7,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Kakinada,General,Jatiya Jana Sena Party,TANGELLA SRINIVASU,6516,43,6559,8,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Kakinada,General,Republican Party of India (A),YEDIDA VARA PRASAD KUMAR,3924,3,3927,9,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Kakinada,General,Communist Party of India (Marxist-Leninist) (Liberation),BUGATHA BANGARRAO,2816,7,2823,10,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Kakinada,General,Independent,SUDHA VEERA GANESH,2645,2,2647,11,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Kakinada,General,Independent,BHAVANI SANKAR PRASAD MERLA,1963,6,1969,12,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Kakinada,General,Jaibhim Rao Bharat Party,YENUGUPALLI KRISHNA,1762,18,1780,13,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Kakinada,General,Independent,BODDETI APPARAO,1687,,1687,14,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Kakinada,General,Independent,NEELAKANTAM DONAM,1401,11,1412,15,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Kakinada,General,Independent,PASUPULETI S.V.S.BHUSHANAM,1222,5,1227,16,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Kakinada,General,None of the Above,NOTA,17105,115,17220,4,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Amalapuram (SC),Scheduled Caste,Telugu Desam,G M HARISH (BALAYOGI),786149,10832,796981,1,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Amalapuram (SC),Scheduled Caste,Yuvajana Sramika Rythu Congress Party,RAPAKA VARAPRASADA RAO,450362,4423,454785,2,"EVM_votes, postal_votes, total_votes in absolute number"
2024,Andhra Pradesh,Amalapuram (SC),Scheduled Caste,Indian National Congress,GOUTHAM JANGA,14523,559,15082,3,"EVM_votes, postal_votes, total_votes in absolute number"
